,time,open,high,low,close,volume,ticker
75,2023-01-03,1011.54,1043.9,1011.38,1043.9,551325561,VNINDEX
76,2023-01-04,1047.91,1052.6,1041.56,1046.35,647730520,VNINDEX
77,2023-01-05,1048.17,1058.14,1046.64,1055.82,535052900,VNINDEX
78,2023-01-06,1055.46,1065.58,1047.26,1051.44,698499467,VNINDEX
79,2023-01-09,1058.28,1062.12,1050.95,1054.21,475003965,VNINDEX
80,2023-01-10,1054.84,1057.44,1045.75,1053.35,546263068,VNINDEX
81,2023-01-11,1058.25,1065.69,1054.53,1055.76,545184418,VNINDEX
82,2023-01-12,1058.51,1060.97,1050.27,1056.39,506466858,VNINDEX
83,2023-01-13,1060.96,1066.39,1055.23,1060.17,670231695,VNINDEX
84,2023-01-16,1062.27,1067.74,1057.87,1066.68,520790888,VNINDEX
85,2023-01-17,1067.6,1088.29,1069.86,1088.29,673933466,VNINDEX
86,2023-01-18,1092.5,1100.39,1089.56,1098.28,604197540,VNINDEX
87,2023-01-19,1095.53,1111.72,1094.46,1108.08,617714336,VNINDEX
88,2023-01-27,1114.58,1124.3,1111.41,1117.1,604933400,VNINDEX
89,2023-01-30,1117.31,1118.46,1102.57,1102.57,798675700,VNINDEX
90,2023-01-31,1100.87,1111.18,1088.25,1111.18,748424020,VNINDEX
91,2023-02-01,1114.26,1116.96,1075.97,1075.97,1029897286,VNINDEX
92,2023-02-02,1079.64,1083.36,1070.81,1077.59,634742880,VNINDEX
93,2023-02-03,1078.8,1081.89,1070.46,1077.15,563829415,VNINDEX
94,2023-02-06,1077.14,1089.29,1067.24,1089.29,527006509,VNINDEX
95,2023-02-07,1089.43,1092.12,1065.18,1065.84,673206842,VNINDEX
96,2023-02-08,1067.58,1079.51,1063.5,1072.22,569317582,VNINDEX
97,2023-02-09,1070.07,1075.2,1064.03,1064.03,472659440,VNINDEX
98,2023-02-10,1066.11,1066.28,1054.08,1055.3,463941839,VNINDEX
99,2023-02-13,1050.7,1054.05,1031.7,1043.7,681194770,VNINDEX
100,2023-02-14,1045.14,1046.64,1032.76,1038.64,395732862,VNINDEX
101,2023-02-15,1037.11,1051.89,1034.39,1048.2,585762700,VNINDEX
102,2023-02-16,1051.16,1058.29,1047.45,1058.29,475804145,VNINDEX
103,2023-02-17,1058.99,1062.25,1053.26,1059.31,465080299,VNINDEX
104,2023-02-20,1059.74,1088.01,1059.56,1086.69,682286993,VNINDEX
105,2023-02-21,1089.61,1095.1,1081.8,1082.23,720349483,VNINDEX
106,2023-02-22,1079.72,1073.93,1054.28,1054.28,814013600,VNINDEX
107,2023-02-23,1053.89,1054.48,1030.58,1053.66,720747240,VNINDEX
108,2023-02-24,1051.59,1052.49,1034.66,1039.56,430137670,VNINDEX
109,2023-02-27,1037.54,1037.54,1017.7,1021.25,588607325,VNINDEX
110,2023-02-28,1027.74,1034.36,1018.72,1024.68,432959234,VNINDEX
111,2023-03-01,1023.29,1040.55,1013.37,1040.55,523621012,VNINDEX
112,2023-03-02,1039.0,1043.8,1033.07,1037.61,373163740,VNINDEX
113,2023-03-03,1038.1,1041.82,1022.78,1024.77,447721928,VNINDEX
114,2023-03-06,1032.68,1042.43,1026.73,1027.18,421901651,VNINDEX
115,2023-03-07,1034.62,1043.92,1033.32,1037.84,473165337,VNINDEX
116,2023-03-08,1028.62,1049.18,1027.8,1049.18,510279935,VNINDEX
117,2023-03-09,1050.65,1060.56,1049.45,1055.95,609044089,VNINDEX
118,2023-03-10,1051.68,1053.86,1046.31,1053.0,508592417,VNINDEX
119,2023-03-13,1046.95,1055.54,1045.46,1052.8,625071605,VNINDEX
120,2023-03-14,1049.44,1051.56,1034.72,1040.13,621186235,VNINDEX
121,2023-03-15,1043.82,1062.55,1049.26,1062.19,622855977,VNINDEX
122,2023-03-16,1055.95,1058.73,1043.65,1047.4,532926812,VNINDEX
123,2023-03-17,1053.47,1055.42,1043.54,1045.14,564932380,VNINDEX
124,2023-03-20,1041.91,1042.6,1022.71,1023.1,567363237,VNINDEX
125,2023-03-21,1027.56,1036.15,1017.05,1032.43,474892969,VNINDEX
126,2023-03-22,1032.6,1042.84,1033.73,1040.54,458776626,VNINDEX
127,2023-03-23,1035.44,1045.1,1030.93,1045.1,431450931,VNINDEX
128,2023-03-24,1047.1,1052.29,1044.02,1046.79,577437940,VNINDEX
129,2023-03-27,1047.78,1053.78,1041.99,1052.25,556948410,VNINDEX
130,2023-03-28,1055.82,1059.83,1051.75,1054.29,648102598,VNINDEX
131,2023-03-29,1055.75,1056.33,1048.26,1056.33,460964114,VNINDEX
132,2023-03-30,1061.32,1066.23,1058.89,1059.44,633975741,VNINDEX
133,2023-03-31,1059.79,1067.55,1059.85,1064.64,639933832,VNINDEX
134,2023-04-03,1071.6,1079.28,1071.62,1079.28,821311240,VNINDEX
135,2023-04-04,1081.43,1082.21,1075.1,1078.45,803886355,VNINDEX
136,2023-04-05,1079.06,1080.86,1074.1,1080.86,793746144,VNINDEX
137,2023-04-06,1083.07,1084.52,1070.91,1070.91,998757389,VNINDEX
138,2023-04-07,1071.22,1072.94,1063.7,1069.71,646004332,VNINDEX
139,2023-04-10,1073.86,1075.54,1063.45,1065.35,857459575,VNINDEX
140,2023-04-11,1063.78,1070.56,1056.9,1069.46,697781314,VNINDEX
141,2023-04-12,1071.61,1072.7,1066.43,1069.45,726163549,VNINDEX
142,2023-04-13,1070.48,1070.96,1062.39,1064.3,673041706,VNINDEX
143,2023-04-14,1067.21,1068.79,1052.89,1052.89,786525944,VNINDEX
144,2023-04-17,1052.78,1054.72,1049.11,1053.81,453785270,VNINDEX
145,2023-04-18,1055.65,1057.15,1050.89,1055.02,539759416,VNINDEX
146,2023-04-19,1058.03,1058.14,1047.47,1048.98,569676924,VNINDEX
147,2023-04-20,1049.87,1051.86,1045.85,1049.25,373744769,VNINDEX
148,2023-04-21,1050.1,1050.4,1041.26,1042.91,553030161,VNINDEX
149,2023-04-24,1045.28,1047.18,1038.36,1041.36,556987634,VNINDEX
150,2023-04-25,1045.87,1045.87,1032.49,1034.85,539588993,VNINDEX
151,2023-04-26,1034.18,1040.8,1029.19,1040.8,576776771,VNINDEX
152,2023-04-27,1041.39,1044.25,1037.62,1039.63,511730481,VNINDEX
153,2023-04-28,1043.17,1049.12,1042.04,1049.12,613143100,VNINDEX
154,2023-05-04,1046.05,1048.16,1038.18,1040.61,625808460,VNINDEX
155,2023-05-05,1040.12,1043.22,1036.69,1040.31,547643602,VNINDEX
156,2023-05-08,1040.31,1053.44,1043.44,1053.44,655533160,VNINDEX
157,2023-05-09,1055.42,1058.71,1052.68,1053.77,564403499,VNINDEX
158,2023-05-10,1055.62,1058.67,1053.34,1058.26,717423000,VNINDEX
159,2023-05-11,1061.07,1063.69,1056.72,1057.12,708309615,VNINDEX
160,2023-05-12,1057.58,1066.9,1053.97,1066.9,725827200,VNINDEX
161,2023-05-15,1067.61,1076.32,1065.71,1065.71,834497150,VNINDEX
162,2023-05-16,1068.51,1069.27,1063.65,1065.91,681376611,VNINDEX
163,2023-05-17,1066.13,1069.95,1060.44,1060.44,836832759,VNINDEX
164,2023-05-18,1063.66,1073.41,1060.94,1068.31,649534572,VNINDEX
165,2023-05-19,1070.13,1070.15,1058.56,1067.07,755489197,VNINDEX
166,2023-05-22,1068.25,1070.64,1065.88,1070.64,711106360,VNINDEX
167,2023-05-23,1073.12,1073.96,1062.15,1065.85,721987481,VNINDEX
168,2023-05-24,1069.49,1069.61,1060.6,1061.79,793789122,VNINDEX
169,2023-05-25,1062.03,1065.5,1057.91,1064.63,669530149,VNINDEX
170,2023-05-26,1066.72,1067.28,1063.76,1063.76,640714612,VNINDEX
171,2023-05-29,1066.34,1077.18,1067.27,1074.98,844875747,VNINDEX
172,2023-05-30,1078.82,1079.31,1071.01,1078.05,922938040,VNINDEX
173,2023-05-31,1078.16,1079.11,1071.38,1075.17,924361374,VNINDEX
174,2023-06-01,1076.5,1078.39,1071.61,1078.39,856813100,VNINDEX
175,2023-06-02,1084.19,1092.24,1083.36,1090.84,1037413832,VNINDEX
176,2023-06-05,1099.66,1103.81,1096.76,1097.82,948361281,VNINDEX
177,2023-06-06,1098.8,1108.31,1098.28,1108.31,842755231,VNINDEX
178,2023-06-07,1110.79,1112.28,1104.26,1109.54,1000674077,VNINDEX
179,2023-06-08,1111.73,1115.14,1101.32,1101.32,1324883081,VNINDEX
180,2023-06-09,1103.01,1107.53,1097.23,1107.53,902209434,VNINDEX
181,2023-06-12,1110.26,1116.02,1100.08,1116.02,797975274,VNINDEX
182,2023-06-13,1117.33,1122.46,1116.1,1122.46,943543202,VNINDEX
183,2023-06-14,1124.56,1129.49,1117.42,1117.42,928596018,VNINDEX
184,2023-06-15,1116.99,1120.13,1112.11,1116.97,716875115,VNINDEX
185,2023-06-16,1117.08,1128.92,1112.51,1115.22,1166381071,VNINDEX
186,2023-06-19,1115.59,1117.23,1104.73,1105.4,811306110,VNINDEX
187,2023-06-20,1105.75,1111.72,1102.58,1111.72,695589566,VNINDEX
188,2023-06-21,1112.73,1118.46,1110.65,1118.46,875892009,VNINDEX
189,2023-06-22,1126.21,1127.54,1122.27,1125.3,919320913,VNINDEX
190,2023-06-23,1126.4,1130.61,1122.62,1129.38,906633429,VNINDEX
191,2023-06-26,1130.08,1134.0,1119.95,1132.03,1040389313,VNINDEX
192,2023-06-27,1134.36,1136.49,1128.82,1134.33,720595093,VNINDEX
193,2023-06-28,1135.78,1140.56,1131.86,1138.35,892135684,VNINDEX
194,2023-06-29,1139.42,1140.43,1125.39,1125.39,906889844,VNINDEX
195,2023-06-30,1125.32,1126.33,1120.01,1120.18,617525563,VNINDEX
196,2023-07-03,1126.54,1126.69,1121.17,1125.5,558383886,VNINDEX
197,2023-07-04,1127.15,1132.12,1123.49,1132.0,701311418,VNINDEX
198,2023-07-05,1136.64,1138.67,1133.45,1134.62,807034287,VNINDEX
199,2023-07-06,1134.49,1135.81,1122.35,1126.22,921107414,VNINDEX
200,2023-07-07,1124.98,1138.07,1122.94,1138.07,798404469,VNINDEX
201,2023-07-10,1142.76,1149.02,1140.03,1149.02,879429309,VNINDEX
202,2023-07-11,1149.38,1157.01,1149.69,1151.77,936910449,VNINDEX
203,2023-07-12,1153.72,1157.43,1149.28,1154.2,788162797,VNINDEX
204,2023-07-13,1159.75,1165.42,1158.15,1165.42,806458855,VNINDEX
205,2023-07-14,1169.2,1169.84,1156.28,1168.4,1042750588,VNINDEX
206,2023-07-17,1171.75,1174.89,1168.77,1173.13,914617699,VNINDEX
207,2023-07-18,1173.15,1175.7,1170.04,1174.09,837137143,VNINDEX
208,2023-07-19,1177.5,1178.55,1172.98,1172.98,896644826,VNINDEX
209,2023-07-20,1171.83,1174.39,1166.62,1172.81,796609448,VNINDEX
210,2023-07-21,1173.21,1185.9,1172.07,1185.9,988085166,VNINDEX
211,2023-07-24,1190.77,1193.22,1183.39,1190.72,1043024974,VNINDEX
212,2023-07-25,1194.63,1199.27,1193.34,1195.9,1000328186,VNINDEX
213,2023-07-26,1196.33,1200.84,1195.44,1200.84,912295513,VNINDEX
214,2023-07-27,1201.69,1203.69,1191.08,1197.33,1162285963,VNINDEX
215,2023-07-28,1197.58,1207.67,1195.86,1207.67,1111482062,VNINDEX
216,2023-07-31,1219.66,1224.81,1212.81,1222.9,1204882556,VNINDEX
217,2023-08-01,1230.32,1234.5,1217.56,1217.56,1280939063,VNINDEX
218,2023-08-02,1217.03,1223.04,1213.18,1220.43,940810059,VNINDEX
219,2023-08-03,1219.73,1222.35,1209.06,1210.95,1032558151,VNINDEX
220,2023-08-04,1211.9,1228.12,1214.17,1225.98,1126518936,VNINDEX
221,2023-08-07,1233.1,1241.42,1230.38,1241.42,1295575765,VNINDEX
222,2023-08-08,1243.38,1246.22,1239.01,1242.23,1192874638,VNINDEX
223,2023-08-09,1240.71,1241.96,1231.28,1233.99,1092478002,VNINDEX
224,2023-08-10,1236.51,1238.19,1220.61,1220.61,1010944643,VNINDEX
225,2023-08-11,1228.78,1232.21,1213.37,1232.21,1012420560,VNINDEX
226,2023-08-14,1237.43,1239.61,1229.04,1236.84,1106278804,VNINDEX
227,2023-08-15,1239.42,1239.42,1230.58,1234.05,912029078,VNINDEX
228,2023-08-16,1234.77,1243.48,1235.27,1243.26,930667089,VNINDEX
229,2023-08-17,1242.58,1243.98,1233.48,1233.48,1111719043,VNINDEX
230,2023-08-18,1227.18,1228.98,1177.74,1177.99,1702046002,VNINDEX
231,2023-08-21,1178.39,1188.16,1164.63,1179.76,1078398206,VNINDEX
232,2023-08-22,1180.17,1184.43,1149.13,1180.49,1055664316,VNINDEX
233,2023-08-23,1193.32,1193.79,1168.89,1172.56,747179434,VNINDEX
234,2023-08-24,1175.2,1189.99,1171.33,1189.39,851534592,VNINDEX
235,2023-08-25,1189.37,1192.59,1181.6,1183.37,893336876,VNINDEX
236,2023-08-28,1189.87,1202.02,1189.43,1201.72,882846337,VNINDEX
237,2023-08-29,1204.76,1208.78,1197.57,1204.43,990936199,VNINDEX
238,2023-08-30,1206.1,1213.52,1203.51,1213.16,911988548,VNINDEX
239,2023-08-31,1214.32,1224.84,1214.39,1224.05,945474870,VNINDEX
240,2023-09-05,1231.65,1236.21,1228.7,1234.98,1087343528,VNINDEX
241,2023-09-06,1237.42,1245.5,1229.89,1245.5,1131934538,VNINDEX
242,2023-09-07,1247.07,1255.11,1240.82,1243.14,1127715259,VNINDEX
243,2023-09-08,1241.93,1248.1,1240.15,1241.48,1097934295,VNINDEX
244,2023-09-11,1245.58,1251.37,1223.33,1223.63,1393859204,VNINDEX
245,2023-09-12,1223.55,1245.44,1220.85,1245.44,967867696,VNINDEX
246,2023-09-13,1249.06,1250.61,1232.84,1238.39,1263786726,VNINDEX
247,2023-09-14,1238.21,1244.21,1223.03,1223.81,1227453311,VNINDEX
248,2023-09-15,1225.9,1233.87,1220.27,1227.36,917361628,VNINDEX
249,2023-09-18,1225.6,1226.56,1203.88,1211.81,844996338,VNINDEX
