Date,Total Share Volume,Total Value,Market Capitalization,Close,Change,% Change,Vol,Val.
12/15/2023,"35,481,700","956,71","155,836,257","26,8",-250,-0.92,"34,686,700","934,723"
12/14/2023,"32,333,500","882,377","157,289,953","27,05",-300,-1.1,"31,777,500","867,385"
12/13/2023,"33,557,700","932,055","159,034,389","27,35",-600,-2.15,"33,347,700","926,452"
12/12/2023,"32,231,800","902,224","162,523,260","27,95",450,1.64,"31,681,800","886,829"
12/11/2023,"17,990,400","495,461","159,906,607","27,5",-200,-0.72,"17,845,400","491,169"
12/08/2023,"52,783,700","1,478,157","161,069,564","27,7",100,0.36,"52,783,700","1,478,157"
12/07/2023,"49,575,900","1,366,281","160,488,085","27,6",0,0,"49,430,900","1,362,192"
12/06/2023,"18,648,100","510,364","160,488,085","27,6",350,1.28,"18,648,100","510,364"
12/05/2023,"22,656,100","618,581","158,452,910","27,25",-250,-0.91,"22,511,100","614,492"
12/04/2023,"42,381,800","1,162,172","159,906,607","27,5",600,2.23,"42,341,900","1,161,089"