0,1,1-methyl-1-propylpyrrolidinium dicyanamide,C10H18N4,194.28,
1,2,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,C10H18F6N2O4S2,408.37,
0,1,2-methylpropan-2-ol,C4H10O,74.12,
1,2,1-decyl-3-methylimidazolium chloride,C14H27ClN2,258.83,
0,1,dodecan-1-ol,C12H26O,186.34,
1,2,1-decyl-3-methylimidazolium chloride,C14H27ClN2,258.83,
0,1,decan-1-ol,C10H22O,158.28,
1,2,1-decyl-3-methylimidazolium chloride,C14H27ClN2,258.83,
0,1,decan-1-ol,C10H22O,158.28,
1,2,1-decyl-3-methylimidazolium chloride,C14H27ClN2,258.83,
0,1,2-methylpropan-2-ol,C4H10O,74.12,
1,2,1-butyl-3-methylimidazolium chloride,C8H15ClN2,174.67,
0,1,dodecan-1-ol,C12H26O,186.34,
1,2,1-butyl-3-methylimidazolium chloride,C8H15ClN2,174.67,
0,1,dodecan-1-ol,C12H26O,186.34,
1,2,1-butyl-3-methylimidazolium chloride,C8H15ClN2,174.67,
0,1,octan-1-ol,C8H18O,130.23,
1,2,"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bromide",C10H24BrNO,254.21,
0,1,octan-1-ol,C8H18O,130.23,
1,2,"N-(2-hydroxyethyl)-N,N-dimethylbutanaminium bromide",C8H20BrNO,226.16,
0,1,water,H2O,18.02,
1,2,"N-(2-hydroxyethyl)-N,N-dimethylbutanaminium bromide",C8H20BrNO,226.16,
0,1,octan-1-ol,C8H18O,130.23,
1,2,"N-(2-hydroxyethyl)-N,N-dimethylpropanaminium bromide",C7H18BrNO,212.13,
0,1,water,H2O,18.02,
1,2,"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bromide",C10H24BrNO,254.21,
0,1,octan-1-ol,C8H18O,130.23,
1,2,1-butyl-3-methylimidazolium tosylate,C15H22N2O3S,310.41,
0,1,decan-1-ol,C10H22O,158.28,
1,2,1-butyl-3-methylimidazolium tosylate,C15H22N2O3S,310.41,
0,1,water,H2O,18.02,
1,2,1-butyl-3-methylimidazolium tosylate,C15H22N2O3S,310.41,
0,1,decan-1-ol,C10H22O,158.28,
1,2,1-hexyl-3-methylpyridinium 4-methylbenzenesulfonate,C19H27NO3S,349.49,
0,1,octan-1-ol,C8H18O,130.23,
1,2,1-hexyl-3-methylpyridinium 4-methylbenzenesulfonate,C19H27NO3S,349.49,
0,1,water,H2O,18.02,
1,2,1-hexyl-3-methylpyridinium 4-methylbenzenesulfonate,C19H27NO3S,349.49,
0,1,decan-1-ol,C10H22O,158.28,
1,2,1-dodecyl-3-methylimidazolium chloride,C16H31ClN2,286.89,
0,1,2-methylpropan-2-ol,C4H10O,74.12,
1,2,1-dodecyl-3-methylimidazolium chloride,C16H31ClN2,286.89,
0,1,dodecan-1-ol,C12H26O,186.34,
1,2,1-dodecyl-3-methylimidazolium chloride,C16H31ClN2,286.89,
0,1,octan-1-ol,C8H18O,130.23,
1,2,(2-decanoyloxyethyl)dimethylpentyloxymethylammonium trifluoroacetate,C22H42F3NO5,457.58,
0,1,octan-1-ol,C8H18O,130.23,
1,2,(2-hydroxyethyl)-dimethylundecyloxymethylammonium dicyanamide,C18H36N4O2,340.51,
0,1,nonan-1-ol,C9H20O,144.26,
1,2,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,C13H18N2O3S,282.36,
0,1,water,H2O,18.02,
1,2,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,C13H18N2O3S,282.36,
0,1,decan-1-ol,C10H22O,158.28,
1,2,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,C13H18N2O3S,282.36,
0,1,octan-1-ol,C8H18O,130.23,
1,2,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,C13H18N2O3S,282.36,
0,1,decan-1-ol,C10H22O,158.28,
1,2,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,C11H20F6N2O4S2,422.4,
0,1,(Z)-9-octadecenoic acid,C18H34O2,282.47,
1,2,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,C11H20F6N2O4S2,422.4,
0,1,decan-1-ol,C10H22O,158.28,
1,2,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,C13H24F6N2O4S2,450.46,
0,1,2-methylbutan-2-ol,C5H12O,88.15,
1,2,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,C11H20F6N2O4S2,422.4,
0,1,2-methylbutan-2-ol,C5H12O,88.15,
1,2,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,C13H24F6N2O4S2,450.46,
0,1,decan-1-ol,C10H22O,158.28,
1,2,1-butyl-1-methylpyrrolidinium thiocyanate,C10H20N2S,200.34,
0,1,decan-1-ol,C10H22O,158.28,
1,2,1-butyl-1-methylpyrrolidinium thiocyanate,C10H20N2S,200.34,
0,1,dodecan-1-ol,C12H26O,186.34,
1,2,1-butyl-1-methylpyrrolidinium thiocyanate,C10H20N2S,200.34,
0,1,water,H2O,18.02,
1,2,1-butyl-1-methylpyrrolidinium thiocyanate,C10H20N2S,200.34,
0,1,octan-1-ol,C8H18O,130.23,
1,2,1-butyl-1-methylpyrrolidinium thiocyanate,C10H20N2S,200.34,
0,1,nonan-1-ol,C9H20O,144.26,
1,2,1-butyl-1-methylpyrrolidinium thiocyanate,C10H20N2S,200.34,
0,1,heptan-1-ol,C7H16O,116.2,
1,2,1-butyl-1-methylpyrrolidinium thiocyanate,C10H20N2S,200.34,
0,1,hexan-1-ol,C6H14O,102.18,
1,2,1-butyl-1-methylpyrrolidinium thiocyanate,C10H20N2S,200.34,
0,1,lithium bis((trifluoromethyl)sulfonyl)amide,C2F6LiNO4S2,287.08,
1,2,rubidium bis((trifluoromethyl)sulfonyl)amide,C2F6NO4RbS2,365.6,
0,1,lithium bis((trifluoromethyl)sulfonyl)amide,C2F6LiNO4S2,287.08,
1,2,sodium bis(trifluoromethylsulfonyl)imide,C2F6NNaO4S2,303.13,
0,1,lithium bis((trifluoromethyl)sulfonyl)amide,C2F6LiNO4S2,287.08,
1,2,rubidium bis((trifluoromethyl)sulfonyl)amide,C2F6NO4RbS2,365.6,
0,1,lithium bis((trifluoromethyl)sulfonyl)amide,C2F6LiNO4S2,287.08,
1,2,cesium bis((trifluoromethyl)sulfonyl)amide,C2CsF6NO4S2,413.04,
0,1,lithium bis((trifluoromethyl)sulfonyl)amide,C2F6LiNO4S2,287.08,
1,2,potassium bis((trifluoromethyl)sulfonyl)amide,C2F6KNO4S2,319.23,
0,1,lithium bis((trifluoromethyl)sulfonyl)amide,C2F6LiNO4S2,287.08,
1,2,cesium bis((trifluoromethyl)sulfonyl)amide,C2CsF6NO4S2,413.04,
0,1,water,H2O,18.02,
1,2,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,C10H20F3NO3S,291.33,
0,1,tributylethylphosphonium diethylphosphate,C18H42O4P2,384.48,
1,2,water,H2O,18.02,
0,1,rubidium bis(fluorosulfonyl)amide,F2NO4RbS2,265.59,
1,2,sodium bis(fluorosulfonyl)amide,F2NNaO4S2,203.11,
0,1,potassium bis(fluorosulfonyl)amide,F2KNO4S2,219.22,
1,2,sodium bis(fluorosulfonyl)amide,F2NNaO4S2,203.11,
0,1,cesium bis(fluorosulfonyl)amide,CsF2NO4S2,313.03,
1,2,lithium bis(fluorosulfonyl)imide,F2LiNO4S2,187.06,
0,1,rubidium bis(fluorosulfonyl)amide,F2NO4RbS2,265.59,
1,2,lithium bis(fluorosulfonyl)imide,F2LiNO4S2,187.06,
0,1,potassium bis(fluorosulfonyl)amide,F2KNO4S2,219.22,
1,2,lithium bis(fluorosulfonyl)imide,F2LiNO4S2,187.06,
0,1,sodium bis(fluorosulfonyl)amide,F2NNaO4S2,203.11,
1,2,lithium bis(fluorosulfonyl)imide,F2LiNO4S2,187.06,
0,1,potassium bis(fluorosulfonyl)amide,F2KNO4S2,219.22,
1,2,cesium bis(fluorosulfonyl)amide,CsF2NO4S2,313.03,
0,1,potassium bis(fluorosulfonyl)amide,F2KNO4S2,219.22,
1,2,rubidium bis(fluorosulfonyl)amide,F2NO4RbS2,265.59,
0,1,rubidium bis(fluorosulfonyl)amide,F2NO4RbS2,265.59,
1,2,cesium bis(fluorosulfonyl)amide,CsF2NO4S2,313.03,
0,1,cesium bis(fluorosulfonyl)amide,CsF2NO4S2,313.03,
1,2,sodium bis(fluorosulfonyl)amide,F2NNaO4S2,203.11,
0,1,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,C9H16F6N2O4S2,394.35,
1,2,1-butyl-1-methylpyrrolidinium tetrafluoroborate,C9H20BF4N,229.07,
0,1,1-butyl-1-methylpyrrolidinium bromide,C9H20BrN,222.17,
1,2,1-butyl-1-methylpyrrolidinium tetrafluoroborate,C9H20BF4N,229.07,
0,1,1-ethyl-1-methylpyrrolidinium tetrafluoroborate,C7H16BF4N,201.02,
1,2,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,C9H16F6N2O4S2,394.35,
0,1,1-butyl-1-methylpyrrolidinium tetrafluoroborate,C9H20BF4N,229.07,
1,2,1-butyl-1-methylpyrrolidinium chloride,C9H20ClN,177.72,
0,1,1-butyl-1-methylpyrrolidinium bromide,C9H20BrN,222.17,
1,2,1-butyl-1-methylpyrrolidinium chloride,C9H20ClN,177.72,
0,1,1-butylpyridinium bromide,C9H14BrN,216.12,
1,2,1-ethylpyridinium bromide,C7H10BrN,188.07,
0,1,1-butylpyridinium chloride,C9H14ClN,171.67,
1,2,1-ethylpyridinium chloride,C7H10ClN,143.61,
